Fecha;Llamadas_Predecidas;Llamadas_Recibidas;Es_Cyber;;;;;;;;;;;;;;;;;
04-12-2021;1405;1430;NO;;;;;;;;;;;;;;;;;
05-12-2021;771;843;NO;;;;;;;;;;;;;;;;;
06-12-2021;4589;3567;NO;;;;;;;;;;;;;;;;;
07-12-2021;4071;3444;NO;;;;;;;;;;;;;;;;;
08-12-2021;2543;1581;NO;;;;;;;;;;;;;;;;;
09-12-2021;3768;3532;NO;;;;;;;;;;;;;;;;;
10-12-2021;3715;3037;NO;;;;;;;;;;;;;;;;;
11-12-2021;1754;1593;NO;;;;;;;;;;;;;;;;;
12-12-2021;781;831;NO;;;;;;;;;;;;;;;;;
13-12-2021;4035;3361;NO;;;;;;;;;;;;;;;;;
14-12-2021;3664;3278;NO;;;;;;;;;;;;;;;;;
15-12-2021;3834;3094;NO;;;;;;;;;;;;;;;;;
16-12-2021;3837;2788;NO;;;;;;;;;;;;;;;;;
17-12-2021;4023;3045;NO;;;;;;;;;;;;;;;;;
18-12-2021;2159;1493;NO;;;;;;;;;;;;;;;;;
19-12-2021;828;484;NO;;;;;;;;;;;;;;;;;
20-12-2021;3928;3516;NO;;;;;;;;;;;;;;;;;
21-12-2021;3871;3201;NO;;;;;;;;;;;;;;;;;
22-12-2021;2954;3076;NO;;;;;;;;;;;;;;;;;
23-12-2021;2116;3139;NO;;;;;;;;;;;;;;;;;
24-12-2021;1933;1477;NO;;;;;;;;;;;;;;;;;
25-12-2021;;;NO;;;;;;;;;;;;;;;;;
26-12-2021;675;656;NO;;;;;;;;;;;;;;;;;
27-12-2021;3937;3448;NO;;;;;;;;;;;;;;;;;
28-12-2021;3752;3679;NO;;;;;;;;;;;;;;;;;
29-12-2021;3442;3287;NO;;;;;;;;;;;;;;;;;
30-12-2021;3073;3219;NO;;;;;;;;;;;;;;;;;
31-12-2021;2403;1460;NO;;;;;;;;;;;;;;;;;
01-01-2022;;;NO;;;;;;;;;;;;;;;;;
